Date,Average Price,Volume
04-08-1983,1.0406124889850616,2552344
05-08-1983,1.0406124889850616,770688
08-08-1983,1.0218062698841095,498505
09-08-1983,1.0280750095844269,204387
10-08-1983,1.0280750095844269,134596
11-08-1983,1.0468812584877014,125623
12-08-1983,1.0468812584877014,111665
15-08-1983,1.1221062242984772,225324
16-08-1983,1.2412122189998627,296112
17-08-1983,1.2349434792995453,164507
18-08-1983,1.2286747097969055,137587
19-08-1983,1.2286747097969055,97707
22-08-1983,1.1973312497138977,213360
23-08-1983,1.1973312497138977,610170
24-08-1983,1.1785249710083008,260219
25-08-1983,1.1785249710083008,72782
26-08-1983,1.1785249710083008,109671
29-08-1983,1.1785249710083008,236291
30-08-1983,1.1785249710083008,131605
31-08-1983,1.1785249710083008,41874
01-09-1983,1.1534500122070312,38883
02-09-1983,1.1471812725067139,17946
06-09-1983,1.165987491607666,103689
07-09-1983,1.1785249710083008,38883
08-09-1983,1.1910625100135803,33898
09-09-1983,1.1910625100135803,29910
12-09-1983,1.1910625100135803,12961
13-09-1983,1.2161372303962708,49850
14-09-1983,1.2286747097969055,106680
15-09-1983,1.2600179612636566,125623
16-09-1983,1.3101679682731628,166501
19-09-1983,1.341511756181717,53839
20-09-1983,1.3540492355823517,37886
21-09-1983,1.3540492355823517,19940
22-09-1983,1.3603180050849915,74776
23-09-1983,1.3603180050849915,49850
26-09-1983,1.3728554844856262,47856
27-09-1983,1.3916617631912231,10967
28-09-1983,1.3916617631912231,50847
29-09-1983,1.404199242591858,78764
30-09-1983,1.404199242591858,13958
03-10-1983,1.404199242591858,235294
04-10-1983,1.404199242591858,10967
05-10-1983,1.404199242591858,15952
06-10-1983,1.404199242591858,25922
07-10-1983,1.3916617631912231,41874
10-10-1983,1.3916617631912231,6979
11-10-1983,1.3916617631912231,51844
12-10-1983,1.3791242241859436,12961
13-10-1983,1.3791242241859436,5982
14-10-1983,1.3791242241859436,4985
17-10-1983,1.3540492355823517,20937
