Date,Average Price,Volume
21-06-1995,2.1875,23654400
22-06-1995,2.0546875,6014400
23-06-1995,2.0078125,1333600
26-06-1995,2.0234375,1188000
27-06-1995,1.9296875,2978400
28-06-1995,1.85546875,1576000
29-06-1995,1.875,291200
30-06-1995,1.890625,420800
03-07-1995,1.875,192000
05-07-1995,1.859375,2457600
06-07-1995,1.84375,1080800
07-07-1995,1.8515625,108000
10-07-1995,1.83984375,540800
11-07-1995,1.8515625,422400
12-07-1995,1.84375,1376800
13-07-1995,1.875,107200
14-07-1995,1.90625,200000
17-07-1995,1.92578125,343200
18-07-1995,1.94921875,1123200
19-07-1995,1.9375,499200
20-07-1995,1.890625,609600
21-07-1995,1.8671875,911200
24-07-1995,1.8828125,37600
25-07-1995,1.8359375,48000
26-07-1995,1.859375,692000
27-07-1995,1.8359375,48800
28-07-1995,1.8515625,993600
31-07-1995,1.859375,162400
01-08-1995,1.859375,105600
02-08-1995,1.890625,351200
03-08-1995,1.875,112000
04-08-1995,1.875,68800
07-08-1995,1.875,315200
08-08-1995,1.89453125,138400
09-08-1995,1.875,314400
10-08-1995,1.8828125,699200
11-08-1995,1.8984375,97600
14-08-1995,1.8984375,107200
15-08-1995,1.890625,454400
16-08-1995,1.8828125,400800
17-08-1995,1.8984375,86400
18-08-1995,1.890625,37600
21-08-1995,1.8828125,75200
22-08-1995,1.8828125,189600
23-08-1995,1.8828125,3002400
24-08-1995,1.9296875,869600
25-08-1995,1.9921875,269600
28-08-1995,1.9609375,228000
29-08-1995,1.9921875,264800
30-08-1995,1.953125,2692800
31-08-1995,1.9921875,176000
01-09-1995,1.984375,59200
05-09-1995,1.9765625,449600
06-09-1995,1.9765625,657600
07-09-1995,1.97265625,311200
08-09-1995,2.01953125,530400
11-09-1995,2.0234375,52800
12-09-1995,2.0234375,201600
13-09-1995,2.015625,206400
14-09-1995,2.0234375,266400
15-09-1995,1.9921875,392000
18-09-1995,1.984375,218400
19-09-1995,2.0078125,2748800
20-09-1995,2.109375,1516800
21-09-1995,2.09375,136000
22-09-1995,2.078125,257600
25-09-1995,2.078125,216000
26-09-1995,1.86328125,908000
27-09-1995,1.6796875,1094400
28-09-1995,1.7109375,1549600
29-09-1995,1.78125,861600
02-10-1995,1.796875,599200
03-10-1995,1.8046875,378400
04-10-1995,1.7890625,412800
05-10-1995,1.734375,136800
06-10-1995,1.73046875,177600
09-10-1995,1.6796875,334400
10-10-1995,1.6015625,84000
11-10-1995,1.578125,153600
12-10-1995,1.578125,395200
13-10-1995,1.5703125,119200
16-10-1995,1.7734375,1646400
17-10-1995,1.8828125,3222400
18-10-1995,1.88671875,440800
19-10-1995,1.890625,81600
20-10-1995,1.8671875,458400
23-10-1995,1.8828125,180000
24-10-1995,1.8828125,25600
25-10-1995,1.84375,18400
26-10-1995,1.828125,726400
27-10-1995,1.8046875,87200
30-10-1995,1.84765625,393600
31-10-1995,1.84765625,76800
01-11-1995,1.859375,117600
02-11-1995,1.84375,131200
03-11-1995,1.859375,573600
06-11-1995,1.90625,12800
07-11-1995,1.875,42400
08-11-1995,1.92578125,185600
09-11-1995,1.89453125,304000
10-11-1995,1.8828125,36000
13-11-1995,1.8671875,142400
14-11-1995,1.8515625,69600
15-11-1995,1.87890625,196000
16-11-1995,1.84765625,653600
17-11-1995,1.859375,41600
20-11-1995,1.875,204800
21-11-1995,1.828125,686400
22-11-1995,1.796875,42400
24-11-1995,1.8125,20000
27-11-1995,1.828125,306400
28-11-1995,1.953125,1104000
29-11-1995,1.9296875,660000
30-11-1995,1.9296875,192800
01-12-1995,1.90625,59200
04-12-1995,1.921875,232800
05-12-1995,1.90234375,1767200
06-12-1995,1.9140625,658400
07-12-1995,1.92578125,579200
08-12-1995,1.921875,108800
11-12-1995,1.9296875,291200
12-12-1995,1.9375,420000
13-12-1995,1.9375,316000
14-12-1995,1.94140625,916800
15-12-1995,1.953125,146400
18-12-1995,1.96875,140000
19-12-1995,2.1171875,843200
20-12-1995,2.296875,1258400
21-12-1995,2.44921875,1508800
22-12-1995,2.4765625,764800
26-12-1995,2.5859375,851200
