Date,Average Price,Volume
22-04-2013,25.554999828338623,1274967
23-04-2013,25.574999809265137,2882708
24-04-2013,25.549999713897705,832540
25-04-2013,25.52999973297119,949095
26-04-2013,25.469999313354492,0
29-04-2013,25.542499542236328,891932
30-04-2013,25.69499969482422,1143730
01-05-2013,25.72249937057495,1600713
02-05-2013,25.78749990463257,855098
03-05-2013,25.86372470855713,339545
06-05-2013,25.797499656677246,529161
07-05-2013,26.019999504089355,2274449
08-05-2013,26.142499446868896,207796
09-05-2013,26.142499923706055,993011
10-05-2013,26.107500076293945,366555
13-05-2013,26.11750030517578,397794
14-05-2013,26.049950122833252,255827
15-05-2013,25.980000019073486,230001
16-05-2013,25.960000038146973,220058
17-05-2013,26.060025215148926,88197
20-05-2013,26.053499698638916,179181
21-05-2013,26.067500114440918,495245
22-05-2013,26.014999866485596,214497
23-05-2013,26.0024995803833,129166
24-05-2013,26.047499656677246,151587
28-05-2013,26.05637502670288,243966
29-05-2013,25.922499656677246,548752
30-05-2013,25.855000495910645,264349
31-05-2013,25.865049839019775,130231
03-06-2013,25.425100326538086,274640
04-06-2013,25.304999828338623,360673
05-06-2013,25.084999561309814,320384
06-06-2013,24.99250030517578,396939
07-06-2013,25.119999885559082,443596
10-06-2013,25.102499961853027,46990
11-06-2013,24.78250026702881,316101
12-06-2013,24.422500133514404,312542
13-06-2013,24.304874897003174,594580
14-06-2013,24.661625385284424,548560
17-06-2013,24.779075145721436,273327
18-06-2013,24.862500190734863,254448
19-06-2013,24.679999828338623,95579
20-06-2013,24.301724910736084,313721
21-06-2013,24.165000438690186,152264
24-06-2013,23.547499656677246,232514
25-06-2013,23.482500076293945,322149
26-06-2013,23.707500457763672,162592
27-06-2013,24.084999561309814,559615
28-06-2013,24.149999618530273,69868
01-07-2013,24.259999752044678,84007
02-07-2013,24.512499809265137,174910
03-07-2013,24.512499809265137,281167
05-07-2013,24.26550006866455,38636
08-07-2013,24.227499961853027,75968
09-07-2013,24.2253999710083,72469
10-07-2013,24.230000019073486,121632
11-07-2013,24.490000247955322,90447
12-07-2013,24.604999542236328,53323
15-07-2013,24.542500019073486,438544
16-07-2013,24.570000171661377,241982
17-07-2013,24.607500076293945,509592
18-07-2013,24.692500114440918,504923
19-07-2013,24.894999980926514,1436735
22-07-2013,24.919999599456787,1223873
23-07-2013,24.87999963760376,741137
24-07-2013,24.34000062942505,363031
25-07-2013,24.225000381469727,59860
26-07-2013,24.17574977874756,67375
29-07-2013,24.167500019073486,95189
30-07-2013,23.906400203704834,243775
31-07-2013,23.769999980926514,167978
01-08-2013,23.652524948120117,250282
02-08-2013,23.634999752044678,125428
05-08-2013,23.73449993133545,120984
06-08-2013,23.317500114440918,135215
07-08-2013,23.249999523162842,2025300
08-08-2013,23.325000762939453,87718
09-08-2013,23.22262477874756,260591
