Date,Average Price,Volume
17-03-1980,3.79629647731781,62775
18-03-1980,3.8055554628372192,64125
19-03-1980,3.8564815521240234,40500
20-03-1980,3.837963104248047,18900
21-03-1980,3.888888716697693,97200
24-03-1980,3.8425928354263306,90450
25-03-1980,3.810185194015503,72225
26-03-1980,3.8240740299224854,31725
27-03-1980,3.77314829826355,62100
28-03-1980,3.7546297311782837,84375
31-03-1980,3.856481432914734,55350
01-04-1980,3.861111044883728,126225
02-04-1980,3.9351850748062134,58725
03-04-1980,4.115740656852722,311175
07-04-1980,4.162037014961243,115425
08-04-1980,4.097222089767456,218025
09-04-1980,4.009258985519409,181575
10-04-1980,4.092592477798462,191700
11-04-1980,4.134259343147278,112050
14-04-1980,4.0925925970077515,18900
15-04-1980,4.023148059844971,63450
16-04-1980,4.055555582046509,30375
17-04-1980,4.009259223937988,43875
18-04-1980,3.9953702688217163,27675
21-04-1980,3.8888890743255615,83700
22-04-1980,3.9444442987442017,122850
23-04-1980,3.967592477798462,132300
24-04-1980,3.9629627466201782,209250
25-04-1980,3.9259259700775146,21600
28-04-1980,3.9953702688217163,141750
29-04-1980,4.009259223937988,45225
30-04-1980,4.032407283782959,85050
01-05-1980,4.115740776062012,48600
02-05-1980,4.1527780294418335,49950
05-05-1980,4.333333492279053,621675
06-05-1980,4.370370388031006,143775
07-05-1980,4.384259343147278,483975
08-05-1980,4.384258985519409,36450
09-05-1980,4.32870352268219,24975
12-05-1980,4.305555582046509,27000
13-05-1980,4.32870352268219,40500
14-05-1980,4.351852059364319,61425
15-05-1980,4.324074029922485,37125
16-05-1980,4.300925970077515,11475
19-05-1980,4.384259223937988,51300
20-05-1980,4.347222089767456,85725
21-05-1980,4.296296238899231,40500
22-05-1980,4.314815044403076,143775
23-05-1980,4.384259223937988,113400
27-05-1980,4.361111044883728,57375
28-05-1980,4.39814817905426,135000
29-05-1980,4.3611109256744385,108675
30-05-1980,4.319444298744202,80325
02-06-1980,4.337962746620178,107325
03-06-1980,4.337962985038757,101250
04-06-1980,4.416666626930237,143100
05-06-1980,4.462963104248047,95850
06-06-1980,4.587962627410889,205875
09-06-1980,4.467592716217041,150525
10-06-1980,4.481481432914734,110700
11-06-1980,4.587963104248047,140400
12-06-1980,4.5462963581085205,178200
13-06-1980,4.712962746620178,196425
16-06-1980,4.638888835906982,298350
17-06-1980,4.592592477798462,344250
18-06-1980,4.537037014961243,129600
19-06-1980,4.388888835906982,83025
20-06-1980,4.342592716217041,207225
23-06-1980,4.32870352268219,557550
24-06-1980,4.407407641410828,174150
25-06-1980,4.444444298744202,294300
26-06-1980,4.449074029922485,791775
27-06-1980,4.45370352268219,104625
30-06-1980,4.425926089286804,85050
01-07-1980,4.435185074806213,89100
02-07-1980,4.444444298744202,89100
03-07-1980,4.462963104248047,550125
07-07-1980,4.472222328186035,144450
