Date,Average Price,Volume
21-02-1973,1.36328125,140800
22-02-1973,1.3671875,128000
23-02-1973,1.33984375,104000
26-02-1973,1.30859375,108800
27-02-1973,1.320312738418579,94400
28-02-1973,1.3378907442092896,43200
01-03-1973,1.359375,147200
02-03-1973,1.3613282442092896,142400
05-03-1973,1.3613282442092896,27200
06-03-1973,1.359375238418579,116800
07-03-1973,1.359375,49600
08-03-1973,1.3574219942092896,110400
09-03-1973,1.3515625,129600
12-03-1973,1.35546875,68800
13-03-1973,1.359375238418579,65600
14-03-1973,1.332031488418579,385600
15-03-1973,1.32421875,60800
16-03-1973,1.347656488418579,134400
19-03-1973,1.36328125,51200
20-03-1973,1.3847657442092896,57600
21-03-1973,1.375000238418579,33600
22-03-1973,1.34375,142400
23-03-1973,1.37109375,24000
26-03-1973,1.3808594942092896,163200
27-03-1973,1.41015625,51200
28-03-1973,1.4140625,59200
29-03-1973,1.421875,123200
30-03-1973,1.4589847326278687,155200
02-04-1973,1.4746094942092896,62400
03-04-1973,1.480468988418579,57600
04-04-1973,1.472656488418579,49600
05-04-1973,1.496093988418579,121600
06-04-1973,1.48828125,182400
09-04-1973,1.4824222326278687,339200
10-04-1973,1.4863282442092896,84800
11-04-1973,1.484375238418579,19200
12-04-1973,1.47265625,27200
13-04-1973,1.46875,27200
16-04-1973,1.492187738418579,32000
17-04-1973,1.515625238418579,107200
18-04-1973,1.50390625,67200
19-04-1973,1.5078125,54400
23-04-1973,1.4980469942092896,40000
24-04-1973,1.4863284826278687,64000
25-04-1973,1.4824219942092896,68800
26-04-1973,1.4550782442092896,96000
27-04-1973,1.445312738418579,27200
30-04-1973,1.45703125,92000
01-05-1973,1.4609375,51200
02-05-1973,1.47265625,10400
03-05-1973,1.5390625,106400
04-05-1973,1.60546875,194400
07-05-1973,1.58203125,59200
08-05-1973,1.58203125,62400
09-05-1973,1.59375,128800
10-05-1973,1.5625,92000
11-05-1973,1.578125,20800
14-05-1973,1.56640625,48800
15-05-1973,1.54296875,50400
16-05-1973,1.515625,66400
17-05-1973,1.50390625,31200
18-05-1973,1.484375,64800
21-05-1973,1.49609375,80000
22-05-1973,1.515625,75200
23-05-1973,1.51953125,48000
24-05-1973,1.51953125,53600
25-05-1973,1.51953125,39200
29-05-1973,1.52734375,48000
30-05-1973,1.48828125,149600
31-05-1973,1.42578125,69600
01-06-1973,1.4375,61600
04-06-1973,1.44140625,41600
05-06-1973,1.4375,113600
06-06-1973,1.48046875,78400
07-06-1973,1.49609375,43200
08-06-1973,1.55078125,107200
11-06-1973,1.55859375,116800
12-06-1973,1.55078125,63200
13-06-1973,1.546875,287200
14-06-1973,1.48046875,86400
15-06-1973,1.45703125,47200
18-06-1973,1.453125,50400
19-06-1973,1.46875,54400
20-06-1973,1.48046875,35200
21-06-1973,1.4765625,71200
22-06-1973,1.4921875,32000
25-06-1973,1.484375,48800
26-06-1973,1.4140625,118400
27-06-1973,1.29296875,494400
28-06-1973,1.3125,332800
29-06-1973,1.3125,92800
02-07-1973,1.31640625,29600
03-07-1973,1.33984375,46400
05-07-1973,1.328125,10400
06-07-1973,1.30859375,15200
09-07-1973,1.31640625,60800
10-07-1973,1.31640625,47200
11-07-1973,1.3359375,46400
12-07-1973,1.31640625,56800
13-07-1973,1.3125,79200
16-07-1973,1.34375,44800
17-07-1973,1.328125,40000
18-07-1973,1.28125,128000
19-07-1973,1.3125,48800
20-07-1973,1.3671875,87200
23-07-1973,1.3671875,73600
24-07-1973,1.3515625,60800
25-07-1973,1.34765625,29600
26-07-1973,1.3671875,307200
27-07-1973,1.359375,197600
30-07-1973,1.3515625,37600
31-07-1973,1.34765625,39200
01-08-1973,1.328125,117600
02-08-1973,1.3359375,43200
03-08-1973,1.359375,57600
06-08-1973,1.359375,80000
07-08-1973,1.3359375,144800
08-08-1973,1.3046875,21600
09-08-1973,1.3046875,106400
10-08-1973,1.30078125,182400
13-08-1973,1.28125,16800
14-08-1973,1.30078125,238400
15-08-1973,1.328125,314400
16-08-1973,1.31640625,55200
17-08-1973,1.3046875,60800
20-08-1973,1.31640625,26400
21-08-1973,1.3125,47200
22-08-1973,1.3046875,24800
23-08-1973,1.3046875,21600
24-08-1973,1.31640625,14400
27-08-1973,1.30859375,40800
28-08-1973,1.33203125,19200
29-08-1973,1.328125,65600
30-08-1973,1.32421875,20000
31-08-1973,1.359375,55200
04-09-1973,1.38671875,43200
05-09-1973,1.40234375,33600
06-09-1973,1.3984375,60800
07-09-1973,1.40234375,29600
10-09-1973,1.40234375,30400
11-09-1973,1.40234375,24800
12-09-1973,1.39453125,72800
13-09-1973,1.38671875,11200
14-09-1973,1.40625,40000
17-09-1973,1.41015625,12800
18-09-1973,1.4296875,79200
19-09-1973,1.43359375,64000
20-09-1973,1.3984375,48800
21-09-1973,1.390625,124000
24-09-1973,1.3984375,32800
25-09-1973,1.4140625,101600
26-09-1973,1.42578125,43200
27-09-1973,1.3984375,36000
28-09-1973,1.37109375,132000
01-10-1973,1.3359375,63200
02-10-1973,1.37109375,142400
03-10-1973,1.37890625,63200
04-10-1973,1.4296875,289600
05-10-1973,1.42578125,196000
08-10-1973,1.421875,29600
09-10-1973,1.4375,35200
10-10-1973,1.42578125,60800
11-10-1973,1.44140625,61600
12-10-1973,1.421875,32800
15-10-1973,1.41796875,13600
16-10-1973,1.3984375,244800
17-10-1973,1.37890625,30400
18-10-1973,1.40234375,105600
19-10-1973,1.4140625,45600
22-10-1973,1.41015625,40800
23-10-1973,1.4140625,56000
24-10-1973,1.4140625,64000
